"numbers","monitornumbers.started","first_press","second_press","first_rt","second_rt","correct","correct2","trials_2.monitornumbers_resp.rt"
3,70.1067855419969,"None",NA,NA,NA,NA,NA,""
7,70.6042782500008,"None",NA,NA,NA,NA,NA,""
1,71.104240332992,"None",NA,NA,NA,NA,NA,""
8,71.6042192080058,"7",NA,0.133909875003155,NA,FALSE,NA,"0.13390987500315532"
6,72.1047998330032,"8",NA,0.203220834009699,NA,FALSE,NA,"0.2032208340096986"
4,72.6039253750059,"None",NA,NA,NA,NA,NA,""
1,73.1037507500005,"4",NA,0.368832334002946,NA,FALSE,NA,"0.36883233400294557"
8,73.6074659580045,"None",NA,NA,NA,NA,NA,""
6,74.1047339579964,"7","8",0.0576878749998286,0.0975350410008104,FALSE,FALSE,"0.05768787499982864, 0.09753504100081045"
4,74.6038804580021,"None",NA,NA,NA,NA,NA,""
2,75.1036984579987,"None",NA,NA,NA,NA,NA,""
5,75.6041233750002,"None",NA,NA,NA,NA,NA,""
1,76.1052494169999,"None",NA,NA,NA,NA,NA,""
8,76.6040665000037,"None",NA,NA,NA,NA,NA,""
3,77.1032688330015,"8",NA,0.0402610830060439,NA,FALSE,NA,"0.04026108300604392"
7,77.6044046250026,"3",NA,0.179862625009264,NA,FALSE,NA,"0.17986262500926387"
2,78.1050777079945,"5",NA,0.235734457994113,NA,FALSE,NA,"0.23573445799411274"
9,78.6041358329967,"None",NA,NA,NA,NA,NA,""
2,79.1044057079998,"9",NA,0.0921290410042275,NA,FALSE,NA,"0.09212904100422747"
5,79.6048237079958,"None",NA,NA,NA,NA,NA,""
6,80.104267792005,"3",NA,0.430537041989737,NA,FALSE,NA,"0.4305370419897372"
4,80.6066484170005,"4",NA,0.0396743750025053,NA,TRUE,NA,"0.03967437500250526"
1,81.104307667003,"None",NA,NA,NA,NA,NA,""
8,81.6040704579937,"None",NA,NA,NA,NA,NA,""
3,82.1042366670008,"None",NA,NA,NA,NA,NA,""
7,82.6036337499972,"4",NA,0.123115166992648,NA,FALSE,NA,"0.12311516699264757"
2,83.1038788330043,"7",NA,0.441966083002626,NA,FALSE,NA,"0.44196608300262596"
5,83.6043814169971,"None",NA,NA,NA,NA,NA,""
6,84.1041989579971,"None",NA,NA,NA,NA,NA,""
4,84.6042263330019,"None",NA,NA,NA,NA,NA,""
3,85.1048362500005,"3",NA,0.237572250000085,NA,TRUE,NA,"0.23757225000008475"
7,85.6042930419935,"None",NA,NA,NA,NA,NA,""
6,86.1058509580034,"9","8",0.234913291991688,0.323370957994484,FALSE,FALSE,"0.2349132919916883, 0.32337095799448434"
4,86.6044919169944,"None",NA,NA,NA,NA,NA,""
2,87.1044907079922,"3",NA,0.121982541997568,NA,FALSE,NA,"0.12198254199756775"
5,87.6063999579928,"None",NA,NA,NA,NA,NA,""
6,88.1044207499945,"8",NA,0.177073291008128,NA,FALSE,NA,"0.17707329100812785"
4,88.6046988750022,"None",NA,NA,NA,NA,NA,""
2,89.1042467499938,"None",NA,NA,NA,NA,NA,""
5,89.604340417005,"5",NA,0.469944625001517,NA,TRUE,NA,"0.4699446250015171"
6,90.109290124994,"None",NA,NA,NA,NA,NA,""
4,90.604460417002,"None",NA,NA,NA,NA,NA,""
3,91.1041809169983,"4",NA,0.0465583329932997,NA,FALSE,NA,"0.0465583329932997"
7,91.6038547920034,"3",NA,NA,NA,FALSE,NA,"None"
2,92.1036409170047,"7",NA,0.129951583003276,NA,FALSE,NA,"0.12995158300327603"
5,92.6048179999925,"None",NA,NA,NA,NA,NA,""
6,93.1043099579983,"4",NA,0.0966580840031384,NA,FALSE,NA,"0.09665808400313836"
4,93.6046604169969,"5",NA,0.0808515419921605,NA,FALSE,NA,"0.08085154199216049"
1,94.104303125001,"3",NA,0.181289000000106,NA,FALSE,NA,"0.18128900000010617"
8,94.6043980419927,"None",NA,NA,NA,NA,NA,""
3,95.104482041992,"7","8",0.0835389170097187,0.153206625007442,FALSE,FALSE,"0.08353891700971872, 0.1532066250074422"
7,95.6052970000019,"4",NA,0.225480124994647,NA,FALSE,NA,"0.22548012499464676"
1,96.1045454999985,"None",NA,NA,NA,NA,NA,""
8,96.6041887500032,"None",NA,NA,NA,NA,NA,""
6,97.1042322499998,"8",NA,0.176001250001718,NA,FALSE,NA,"0.1760012500017183"
